Freq(Hz),Voltage(dBm)
4187710,-70.42443848
4193280,-69.32321167
4198850,-71.2377243
4204420,-70.4777832
4209990,-70.29702759
4215560,-62.62627792
4221130,-59.81848907
4226700,-58.24450684
4232270,-58.01706696
4237840,-58.21565628
4243410,-59.87429047
4248980,-63.05672836
4254550,-67.01038361
4260120,-70.47112274
4265690,-72.27277374
4271260,-70.40093994
4276830,-70.28846741
4282400,-64.45082855
4287970,-61.93678284
4293540,-60.24605179
4299110,-59.39962769
4304680,-59.25600815
4310250,-59.311409
4315820,-59.9879837
4321390,-61.8330574
4326960,-66.59746552
4332530,-70.5641861
4338100,-64.79019165
4343670,-63.03172684
4349240,-62.70999146
4354810,-62.83061218
4360380,-64.39806366
4365950,-67.77075958
4371520,-68.42234802
4377090,-68.35323334
4382660,-65.5995636
4388230,-65.06628418
4393800,-65.04923248
4399370,-65.18610382
4404940,-64.35658264
4410510,-62.27069473
4416080,-60.04096603
4421650,-58.6361084
4427220,-58.44017792
4432790,-58.682724
4438360,-60.81835938
4443930,-67.54174042
4449500,-67.53157806
4455070,-67.37136841
4460640,-62.2517662
4466210,-61.40193558
4471780,-61.37152481
4477350,-61.71039963
4482920,-63.0755043
4488490,-65.13253021
4494060,-67.29139709
4499630,-70.21526337
4505200,-70.99568939
4510770,-70.81749725
4516340,-63.71996307
4521910,-61.8764534
4527480,-61.2395401
4533050,-61.2362442
4538620,-61.63254929
4544190,-62.96878433
4549760,-65.41677094
4555330,-68.37553406
4560900,-66.54751587
4566470,-66.4493103
4572040,-63.35557556
4577610,-62.28087616
4583180,-61.17973709
4588750,-60.73164749
4594320,-60.74302673
4599890,-61.62747574
4605460,-63.90122604
4611030,-66.6492157
4616600,-68.15248871
4622170,-68.02233124
4627740,-68.10829163
4633310,-69.68384552
4638880,-74.34044647
4644450,-76.77661896
4650020,-77.48995972
4655590,-81.02077484
4661160,-69.72787476
4666730,-65.25712585
4672300,-62.67946625
4677870,-61.53931046
4683440,-61.19215012
4689010,-60.93749619
4694580,-60.45504379
4700150,-60.05265808
4705720,-60.04443359
4711290,-60.47546387
4716860,-62.73272324
4722430,-66.65139008
4728000,-63.16636658
4733570,-61.02865601
4739140,-59.8192215
4744710,-59.53494644
4750280,-59.58030319
4755850,-60.5858078
4761420,-63.52872086
4766990,-68.08561707
4772560,-67.21899414
4778130,-67.15546417
4783700,-66.22196198
4789270,-66.63889313
4794840,-68.12325287
4800410,-69.68146515
4805980,-69.03948212
4811550,-68.98213196
4817120,-66.30941772
4822690,-65.0641098
4828260,-64.16864014
4833830,-63.96199036
4839400,-64.02588654
