Trace
Swept SA
A.14.10,N9010A
2048830,-40.4241943359375
2054400,-40.4387588500977
2059970,-40.8621940612793
2065540,-41.8904190063477
2071110,-42.9053573608398
2076680,-43.3332481384277
2082250,-43.3047065734863
2087820,-43.3367347717285
2093390,-43.6229248046875
2098960,-44.1640510559082
2104530,-44.7113304138184
2110100,-45.1263771057129
2115670,-45.5856704711914
2121240,-46.4429550170898
2126810,-47.7681999206543
2132380,-47.945858001709
2137950,-47.9026527404785
2143520,-45.1903877258301
2149090,-44.4108047485352
2154660,-44.3277587890625
2160230,-44.5190887451172
2165800,-45.8804244995117
2171370,-48.3938827514648
2176940,-49.2357559204102
2182510,-49.22314453125
2188080,-49.0503158569336
2193650,-50.4828643798828
2199220,-52.9960136413574
2204790,-56.988597869873
2210360,-57.8814125061035
2215930,-57.6585235595703
2221500,-50.7036056518555
2227070,-51.2930335998535
2232640,-50.5164184570313
2238210,-55.574535369873
2243780,-48.7492141723633
2249350,-45.4526977539063
2254920,-44.0896492004395
2260490,-44.8474388122559
2266060,-44.0891342163086
2271630,-47.8407821655273
2277200,-49.2880020141602
2282770,-49.2074661254883
2288340,-45.099666595459
2293910,-44.1638259887695
2299480,-44.1484298706055
2305050,-44.730842590332
2310620,-47.0990104675293
2316190,-49.5347671508789
2321760,-48.2262496948242
2327330,-48.1794853210449
2332900,-47.0893249511719
2338470,-47.3130073547363
2344040,-49.3473281860352
2349610,-56.286548614502
2355180,-52.7720794677734
2360750,-52.6666870117188
2366320,-51.1214027404785
2371890,-52.0856857299805
2377460,-55.486457824707
2383030,-57.4185676574707
2388600,-50.2505378723145
2394170,-46.6711769104004
2399740,-44.6342391967773
2405310,-44.0876274108887
2410880,-44.0999526977539
2416450,-44.392894744873
2422020,-44.6850051879883
2427590,-44.8511238098145
2433160,-45.1773452758789
2438730,-45.6986618041992
2444300,-46.265022277832
2449870,-47.0264739990234
2455440,-48.3041076660156
2461010,-50.294620513916
2466580,-51.5550575256348
2472150,-51.4214744567871
2477720,-43.5933876037598
2483290,-40.8373565673828
2488860,-39.5879898071289
2494430,-39.5288543701172
2500000,-39.964916229248
2505570,-41.9791603088379
2511140,-45.4417533874512
2516710,-50.0494918823242
2522280,-55.0552444458008
2527850,-54.799144744873
2533420,-45.8728408813477
2538990,-45.0141258239746
2544560,-45.0642127990723
2550130,-42.9031791687012
2555700,-40.0486106872559
2561270,-37.9994430541992
2566840,-37.019229888916
2572410,-36.9167213439941
2577980,-37.076171875
2583550,-38.1996192932129
2589120,-40.5615119934082
2594690,-43.819766998291
2600260,-46.2437705993652
2605830,-46.6105918884277
2611400,-45.7404441833496
2616970,-45.7091255187988
2622540,-44.099536895752
2628110,-43.0006980895996
2633680,-41.7766456604004
2639250,-41.1177597045898
2644820,-41.0986824035645
2650390,-41.3260154724121
2655960,-41.9109420776367
2661530,-42.5883407592773
2667100,-43.8231391906738
2672670,-46.3445816040039
2678240,-48.5822143554688
2683810,-48.5216598510742
2689380,-47.0507621765137
2694950,-47.340763092041
2700520,-47.2831993103027
2706090,-47.259033203125
2711660,-46.4806976318359
2717230,-45.4620895385742
2722800,-43.623233795166
2728370,-41.7167015075684
2733940,-40.4359817504883
2739510,-39.8798141479492
2745080,-39.4036865234375
2750650,-38.5045890808105
2756220,-37.530818939209
2761790,-37.0242652893066
2767360,-37.0206832885742
2772930,-37.3918037414551
2778500,-38.9189605712891
2784070,-41.5259628295898
2789640,-44.6631546020508
2795210,-53.0652275085449
2800780,-46.5704803466797
2806350,-46.3264236450195
2811920,-38.2292747497559
2817490,-36.5142059326172
2823060,-35.8844299316406
2828630,-35.7366409301758
2834200,-35.740421295166
2839770,-35.7908172607422
2845340,-35.6429290771484
2850910,-35.0075454711914
2856480,-34.2967109680176
2862050,-34.0849723815918
2867620,-34.1320953369141
2873190,-35.0133895874023
2878760,-37.0110778808594
2884330,-38.653434753418
2889900,-38.0092697143555
2895470,-38.5297012329102
2901040,-37.9865417480469
2906610,-41.6688117980957
2912180,-43.6445388793945
2917750,-43.5669784545898
2923320,-40.9401206970215
2928890,-40.3050651550293
2934460,-39.2936935424805
2940030,-38.1291313171387
2945600,-37.5865020751953
2951170,-38.3165321350098
2956740,-37.6020278930664
2962310,-41.0600814819336
2967880,-47.1622276306152
2973450,-54.8783378601074
2979020,-49.2424278259277
2984590,-44.8457527160645
2990160,-41.1448707580566
2995730,-38.5619354248047
3001300,-37.3472900390625
3006870,-37.2809143066406
3012440,-37.680980682373
3018010,-39.5309715270996
3023580,-42.612419128418
3029150,-45.8462181091309
3034720,-45.2611389160156
3040290,-45.1463890075684
3045860,-39.836669921875
3051430,-38.5385780334473
3057000,-38.3716583251953
3062570,-38.4674873352051
3068140,-38.9419097900391
3073710,-39.3012428283691
3079280,-39.693977355957
3084850,-40.526725769043
3090420,-41.6261138916016
3095990,-42.2901000976563
3101560,-42.1447296142578
3107130,-42.1517143249512
3112700,-42.3615875244141
3118270,-42.839656829834
3123840,-43.4459800720215
3129410,-44.3795852661133
3134980,-42.9085006713867
3140550,-42.8134803771973
3146120,-39.3271865844727
3151690,-39.0610771179199
3157260,-39.1727828979492
3162830,-40.5501594543457
